_H:	$word	$phones
_D:	"abhorrent"	"aa_b.'h_o_r.uh_n_t%c"
_D:	"abhorrently"	"aa_b.'h_o_r.uh_n_t.l_i%d"
_D:	"abidance"	"uh.'b_ah_i_d.uh_n_s%a"
_D:	"abide"	"uh.'b_ah_i_d%b"
_D:	"abiding"	"uh.'b_ah_i.d_i_ng%cb"
_D:	"abidingly"	"uh.'b_ah_i.d_i_ng.l_i%d"
_D:	"abidingness"	"uh.'b_ah_i.d_i_ng.n_e_s%a"
_D:	"abie"	"'e_i.b_i%ca"
_D:	"abient"	"'aa_b.i.uh_n_t%c"
_D:	"abietate"	"'aa_b.i.uh.~t_e_i_t%a"
_D:	"abigail"	"'aa_b.i.~g_e_i_l%a"
_D:	"ability"	"uh.'b_i_l.i.t_i%a"
_D:	"abinitio"	"aa_b.i.'n_i_sh.i.~uh_uu%j"
_D:	"abintra"	"aa_b.'i_n.t_r_uh%j"
_D:	"abiogenesis"	"~e_i.b_ah_i.uh_uu.'j_e_n.i.s_i_s%a"
_D:	"abiogenetic"	"~e_i.b_ah_i.uh_uu.j_uh.~n_e_t.i_k%c"
_D:	"abiogenic"	"e_i.b_ah_i.uh_uu.'j_e.n_i_k%c"
_D:	"abiogenist"	"~e_i.'b_ah_i_o_j.uh.n_i_s_t%a"
_D:	"abiologically"	"e_i.b_ah_i.uh.'l_o_j.i.k_uh.l_i%d"
_D:	"abiosis"	"~e_i.b_ah_i.'uh_uu.s_i_s%a"
_D:	"abiotic"	"~e_i.b_ah_i.'o_t.i_k%c"
_D:	"abiotically"	"e_i.b_ah_i.'o.t_i.k_uh.l_i%d"
_D:	"abiotrophic"	"'e_i_b.ah_i_uh.'t_r_uh_uu_f.i_k%c"
_D:	"abiotrophy"	"~e_i_b.ah_i_uh.t_r_uh_uu.f_i%a"
_D:	"abirritant"	"aa_b.'i_r.i.t_uh_n_t%ac"
_D:	"abirritate"	"aa_b.'i_r.i.~t_e_i_t%b"
_D:	"abject"	"'aa_b.j_e_k_t%c"
